,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040629,,-0.028207685,-0.023448893,-0.019843278,-0.023536575,-0.022487438,,,-0.021557612,,,,-0.026261939,-0.025625659
20040630,,-0.029009185,-0.021210756,,-0.019949763,,-0.027875985,-0.026233966,,-0.016108343,,,-0.023692711,-0.017715645
20040701,,,-0.001943942,-0.009448108,,-0.026727268,-0.02131893,-0.027835685,-0.020238567,-0.017740018,-0.027484923,,,
20040702,,-0.012526129,-0.029753952,-0.019326719,,,-0.012166472,-0.023028906,-0.024848861,-0.018906083,,,,-0.014887299
20040706,,-0.025887583,-0.02794256,-0.017078704,,,-0.036146968,,,,-0.01411711,,,
20040707,,,,-0.017434605,-0.005374823,-0.023416676,-0.064930597,,,-0.023283559,,-0.019274081,-0.027632871,
20040708,-0.014370531,,-0.026759259,-0.023297539,,-0.017522728,,-0.008544543,,,-0.018310499,,,-0.001831771
20040709,-0.003277188,-0.012895308,-0.01423061,,-0.021048505,,-0.010341701,,,,,,-0.026177577,
20040712,-0.01312251,-0.01204671,-0.00402844,,,,-0.025040221,-0.014215721,,,-0.029866089,-0.015297385,,-0.018236519
20040713,,-0.018148153,-0.022555646,-0.019894212,-0.020775407,-0.017333796,,,,-0.026863575,,-0.025840329,-0.019937854,-0.019287586
20040714,-0.023893836,-0.02809225,-0.034379145,-0.022243121,,,-0.036529472,,-0.017320554,-0.022340539,-0.015857468,-0.016464096,-0.016136706,-0.017700598
20040715,,-0.021210902,-0.0174221,,,-0.015391678,-0.024809514,-0.03642921,-0.027952265,-0.025870741,,,-0.012439301,-0.013969069
20040716,-0.001587926,-0.011858132,,-0.019982622,-0.014572281,-0.018418171,-0.01942466,-0.018156319,,-0.02519053,-0.010787761,-0.015807578,-0.018333923,-0.019325722
20040719,-0.013934484,-0.027609254,-0.017018373,-0.030375143,-0.016604245,0.005839412,,-0.01611907,-0.016776611,-0.024985439,-0.022754335,-0.024134272,-0.005025555,-0.019985282
20040720,-0.019323626,-0.036153617,-0.019503608,-0.018613222,,-0.024704354,,,-0.013349057,-0.031900377,-0.024025873,-0.012228186,,-0.01556665
20040721,-0.003254783,-0.010006218,-0.019344857,-0.016995064,-0.007240636,,,-0.046730517,,-0.019671791,-0.013961498,-0.018417076,-0.012255239,-0.015857983
20040722,-0.054483649,-0.019483053,-0.018925029,-0.013925967,-0.023515939,-0.01142281,-0.012285848,-0.045757936,,,,-0.020426167,-0.015826364,-0.015868195
20040723,-0.037431327,-0.029597753,,,,,,,,,,-0.022734199,,-0.024630365
20040726,-0.024704721,,,,-0.009666405,-0.011158903,,,-0.039740014,-0.024242846,-0.023687405,-0.012575165,0.004839665,-0.024174636
20040727,,-0.024705398,-0.02422912,-0.020509028,-0.025805407,-0.029133704,,-0.029230876,,,-0.033232246,,,-0.024995831
20040728,-0.032337393,-0.038854166,-0.004413756,0.004243275,,,-0.014791152,-0.022098632,,,,,-0.019929312,-0.021170662
20040729,,-0.022076518,-0.008942168,-0.023577783,,-0.018671785,-0.024928041,-0.033766708,,-0.006562413,-0.01345413,-0.02146284,-0.026827624,
20040730,,,-0.010580169,,-0.012845371,-0.015550153,,,,-0.019101868,,-0.011775076,-0.013083109,
20040802,,-0.0282393,-0.025341164,-0.022751562,,-0.018493842,-0.027676534,-0.018685896,-0.011330195,-0.035351299,,,-0.032564245,
20040803,-0.028935447,-0.017682828,,-0.028080725,-0.018641669,,-0.021723635,,,,,,,-0.01295155
20040804,,-0.02703582,-0.014907379,-0.018792892,-0.0119419,-0.020571804,,-0.02182293,-0.012732457,,-0.020630343,-0.019394252,-0.005923847,0.003434064
20040805,,,-0.01841615,-0.028881912,-0.012741804,,-0.025613784,,,,-0.018705413,-0.015904174,-0.012532557,-0.00946293
20040806,-0.063645437,-0.020539657,-0.028568868,-0.011942151,-0.030439521,-0.015802534,,-0.024147673,-0.020465944,,0.004037136,-0.021880717,-0.010842835,-0.032917673
20040809,-0.032607853,-0.017158846,-0.02356002,-0.022624957,-0.026161934,-0.00258918,-0.034633293,,,-0.020065143,-0.020958319,,-0.028773658,-0.023160974
20040810,-0.026856996,,-0.017797102,-0.027292187,-0.023083945,-0.055548047,,-0.030462362,-0.018335277,,0.001028076,,,-0.037368028
20040811,-0.032338948,-0.001996618,-0.01885006,-0.033989674,,-0.006625916,,-0.042355747,0.000688406,-0.017558626,-0.038686408,-0.019070592,,-0.036060457
20040812,,-0.012742045,-0.020497228,-0.016845422,-0.024448151,,,,-0.026135332,-0.00774677,-0.021833569,,,-0.010343655
20040813,,-0.012784314,-0.030871224,-0.031853199,-0.008135664,,,-0.012674274,,,,,,-0.033488777
20040816,-0.015435791,-0.018298057,-0.034568791,-0.015401861,-0.008527216,-0.027513349,-0.014468993,,,-0.027702653,-0.039110718,,-0.028129369,-0.032544478
20040817,-0.001380729,-0.014666671,-0.011995995,-0.00232108,-0.003815505,0.011731986,,-0.023329893,-0.006857262,-0.0169533,-0.009678469,0.007168256,0.000839281,-0.012598506
20040818,-0.041457765,-0.024457571,-0.020778882,-0.000368881,-0.025288752,-0.01294924,-0.014539009,-0.010719672,,-0.009245047,-0.030539176,-0.022048744,-0.038668492,-0.020825092
20040819,-0.015909595,-0.025893321,0.000532861,-0.017494793,-0.02255424,-0.012258411,,-0.011452931,-0.015692654,-0.00897815,-0.009075636,-0.010026109,-0.025455822,-0.010536596
20040820,,,,,,,-0.017819816,,,,,,,
20040823,-0.023368062,-0.023566274,,,,,,,,,,-0.018467793,,
20040824,,,-0.035383418,,,,,,,,,,-0.011776564,
20040825,,,,-0.020334952,-0.024806082,-0.026883264,,,,,,-0.023494006,-0.026184513,
20040826,,,,,,,,,,,,,-0.032097746,
20040827,-0.013307018,,,,-0.01802237,,,,,,,,,
20040830,,,-0.021363265,,,,,,,,,,,-0.024116544
20040831,,,,-0.025556807,,-0.012706031,,,-0.014341788,,,,,-0.015482833
20040901,,-0.018336754,-0.022957694,,,,,,-0.022473983,,,,,
20040902,,-0.012643318,,-0.019646237,-0.041450878,,,,,,-0.034848298,-0.030250849,,-0.013982904
20040903,-0.019809542,,-0.010728418,,-0.02791209,,,,,,,,-0.02305904,
20040907,0.008360808,,-0.151869484,,,,,-0.016778123,,,-0.010167075,,,-0.025115622
20040908,-0.019573539,,-0.024891622,,,,,,,,-0.018826111,,,-0.015584682
20040909,,-0.006436025,-0.029669978,,-0.017608121,-0.017772427,-0.024521939,,,-0.034998939,-0.025323959,-0.03567771,,-0.02414911
20040910,,-0.02692519,-0.023944439,-0.015934211,,,,,,,-0.03293661,-0.024074264,-0.031779712,-0.018379592
20040913,0.005103096,-0.020194175,,-0.026265571,-0.022247893,-0.023879476,-0.013101998,,-0.016924655,-0.009818337,-0.034828361,-0.018875114,,-0.018619344
20040914,,-0.02551967,-0.026329871,-0.017233186,-0.009346593,,-0.019292748,,,-0.028903484,-0.029090799,-0.027277735,-0.029696983,-0.018034404
20040915,-0.021017095,-0.011939825,-0.018831323,0.00072402,-0.028211123,-0.028919394,,-0.019181004,-0.020212464,-0.019024526,-0.019872814,-0.019584444,,-0.026769594
20040916,-0.001303151,-0.011590905,-0.011431435,,-0.01170293,-0.011751764,-0.021603451,,-0.022795106,,-0.011537707,,-0.019084127,-0.015460001
20040917,,-0.022921981,-0.032516312,-0.026756206,-0.020799535,-0.026790639,,-0.025350253,,,,,-0.015619158,-0.028273058
20040920,,-0.018704628,-0.031719807,-0.023672616,-0.02420978,,,,,,,,-0.020929461,-0.047742944
20040921,,-0.01752209,-0.019257483,-0.022104438,-0.029075701,,,,,,,-0.035071688,,-0.021858514
20040922,,-0.027193884,-0.020454666,-0.122936291,-0.022143523,-0.018628047,,,,-0.017644307,,,-0.020857544,-0.011605157
20040923,,-0.034917521,-0.025687069,-0.027408025,-0.023260878,-0.021161491,,-0.022299686,-0.021707854,-0.018157924,,,-0.027423033,-0.019703266
20040924,,-0.027439629,,,-0.026196984,-0.020320187,,,,,,-0.019564853,-0.028854146,-0.030306295
20040927,,,-0.021448485,,-0.02526571,,,,,-0.014467793,,-0.024379617,,
